Bias,Configurations,Sensor HV0,HV0,Sensor HV1,HV1,Sensor HV2,HV2,Sensor HV3,HV3,Sensor HV4,HV4,Sensor HV5,HV5,Sensor HV6,HV6,Sensor HV7,HV7,Notes,Attachments,Run Table
109,228,,,,,HPK22_W33_SE3IP5_P55_L1p5e15,650,HPK23_W37_SE3IP5_P55_L1p5e15,600,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,700,HPK24_W43_SE5IP5_P78_L1p5e15,750,,,,,,,
110,229,,,,,HPK22_W33_SE3IP5_P55_L1p5e15,650,HPK23_W37_SE3IP5_P55_L1p5e15,600,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,715,HPK24_W43_SE5IP5_P78_L1p5e15,750,,,,,,,
111,230,,,,,HPK22_W33_SE3IP5_P55_L1p5e15,650,HPK23_W37_SE3IP5_P55_L1p5e15,650,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,715,HPK24_W43_SE5IP5_P78_L1p5e15,750,,,,,,,
112,231,,,HPK24_5x5_prerad,180,,,,,,,,,Photek,4000,,,,,
113,232,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,550,,,,,,,Photek,4000,,,,,
114,233,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,575,,,,,,,Photek,4000,,,,,
115,234,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,,,,,,,Photek,4000,,,,,
116,235,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,,,,,HPK24_W43_SE5IP5_P78_L1p5e15,600,Photek,4000,,,,,
117,236,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,,,,,HPK24_W43_SE5IP5_P78_L1p5e15,650,,,,,,,
118,237,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,,,,,HPK24_W43_SE5IP5_P78_L1p5e15,675,Photek,4000,,,,,
119,238,,,HPK24_5x5_prerad,170,,,,,,,,,Photek,4000,,,,,
120,239,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,550,,,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,550,,,Photek,4000,,,,,
121,240,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,575,,,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,575,,,Photek,4000,,,,,
122,241,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,,,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,600,,,Photek,4000,,,,,
123,242,,,,,HPK22_W33_SE3IP5_P55_L1p5e15,600,HPK23_W37_SE3IP5_P55_L1p5e15,500,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,625,,,Photek,4000,,,,,
124,243,,,,,HPK22_W33_SE3IP5_P55_L1p5e15,600,HPK23_W37_SE3IP5_P55_L1p5e15,500,HPK24_W43_SE3IP5_R7C3_L1p5e15_2,650,,,Photek,4000,,,,,
125,244,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,600,HPK23_W37_SE3IP5_P55_L1p5e15,500,,,,,Photek,4000,,,,,
126,245,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,625,HPK23_W37_SE3IP5_P55_L1p5e15,500,,,,,Photek,4000,,,,,
127,246,,,HPK24_5x5_prerad,170,HPK22_W33_SE3IP5_P55_L1p5e15,625,HPK23_W37_SE3IP5_P55_L1p5e15,550,,,,,Photek,4000,,,,,
128,247,,,HPK24_5x5_prerad,170,,,HPK23_W37_SE3IP5_P55_L1p5e15,500,,,,,Photek,4000,,,,,
130,"248,250",,,HPK24_5x5_prerad,170,,,HPK23_W37_SE3IP5_P55_L1p5e15,550,,,,,Photek,4000,,,,,
131,251,,,HPK24_5x5_prerad,170,,,HPK23_W37_SE3IP5_P55_L1p5e15,600,,,,,Photek,4000,,,,,
132,252,,,HPK24_5x5_prerad,170,,,HPK23_W37_SE3IP5_P55_L1p5e15,625,,,,,Photek,4000,,,,,
133,253,,,HPK24_5x5_prerad,170,,,HPK23_W37_SE3IP5_P55_L1p5e15,650,,,,,Photek,4000,,,,,
134,"254,256",HPK24_2x2_prerad,230,,,,,,,,,,,Photek,4000,,,,,
135,"255,257",HPK24_2x2_prerad,220,,,,,,,,,,,Photek,4000,,,,,
