Configuration number,ConfigurationCAENHV,ConfigurationLecroyScope,ConfigurationKeySightScope,ConfigurationETROC0,ConfigurationVME,ConfigurationTOFHIR,ConfigurationDT5742,ConfigurationTekScope,ConfigurationSampic,Sensors,Run Table,ConfigurationVME copy,ConfigurationVME copy,ConfigurationKeySightScope copy
258,137,5,127,,,,,,,,"33969,33970,33971",,,
259,,,,,,,,,,,,,,
260,137,5,,,,,,,,,"33967,33968,33985,33986,33987,33988,33989,33990,33991,33992,33993,33994",,,
261,138,6,128,,,,,,,,"33978,33979",,,
262,138,,128,,,,,,,,"33981,33982,33995,33996,33997",,,
263,139,7,129,,,,,,,,"33998,33999,34000,34001,34002",,,
264,139,7,,,,,,,,,"34004,34005,34006,34007,34008",,,
265,139,,129,,,,,,,,"34010,34011,34012,34013,34014",,,
266,140,7,,,,,,,,,"34015,34016,34017,34018,34019,34020,34021,34022,34023,34024,34027,34028,34030,34032,34033,34034,34035,34036,34037,34038,34039,34040,34041,34042,34043,34044,34045,34046,34047,34048,34049,34050,34051,34052,34053,34054,34055,34056,34057,34063,34064,34065,34066,34067,34068",,,
267,140,,129,,,,,,,,,,,
268,140,7,,,,,,,,,"34069,34070,34071,34072,34073,34074,34075,34076,34077,34078,34079,34080,34081,34082,34083,34084,34085,34086,34087,34088,34093,34094,34095,34096,34097,34098,34099,34100,34101,34102,34103,34104,34105,34106,34107,34108,34109,34110,34111,34112,34113,34114,34115,34117,34118,34119,34120,34121,34122,34123,34124,34125,34126,34127,34128,34129,34130,34131,34132,34133,34134,34135,34136,34137,34138,34139,34140,34141,34142,34143,34144,34145",,,
269,141,8,,,,,,,,,"34147,34148,34149,34150,34151,34152,34153,34154,34155,34156,34157,34158,34159,34160,34164,34165,34166,34167,34168,34169,34170,34171,34172,34173,34174,34175,34176,34177,34178,34179,34180,34181,34182,34183,34184,34185,34186,34187,34188,34189,34190,34191,34192,34193,34194,34195,34196,34197,34198,34199,34237,34238,34240,34241,34242,34243,34245,34246,34247,34248,34249,34250,34251,34252,34253,34254,34255,34256,34257,34258,34259,34260,34261,34262,34263,34264,34265,34266,34267,34268,34269,34270,34271,34272,34273,34274,34275,34276,34277,34278,34279",,,
270,142,9,,,,,,,,,"34282,34283,34284,34285,34286,34287,34288,34289,34290,34291,34292,34293,34294,34295,34296,34297,34298,34299,34300,34301,34302,34303,34304,34305,34306",,,
271,143,9,,,,,,,,,"34308,34309,34311,34312,34313,34314,34315,34316,34317,34318,34319,34320,34321,34324,34325,34326,34327,34328,34330,34331,34332,34333,34334,34335,34336,34337,34338,34339,34340,34341,34342,34343,34344,34345,34346,34347,34348,34349,34350,34351,34352,34353,34354,34355,34356,34357",,,
272,144,9,,,,,,,,,"34359,34360,34361,34362,34363,34364,34365,34366,34367,34368,34369,34370,34371,34372,34373,34374,34375,34376,34377,34378,34379,34380,34381,34382,34383,34384,34385,34386,34387,34388,34389,34390,34391,34392,34393,34394,34395,34396,34397,34398,34399,34400,34401,34402,34403,34404,34405,34406,34407,34408,34410,34411,34412,34413,34414,34415,34416,34417,34418,34419,34420,34421,34422,34423,34424,34425,34426,34427,34428,34429,34430,34431,34432,34433",,,
273,145,9,,,,,,,,,"34434,34435,34436,34437,34438,34439,34440,34441,34442,34443,34444,34445,34446,34447,34448,34449,34450,34451,34452,34454,34455,34456,34457,34458,34459,34460,34461,34462,34463,34464,34465,34466,34467,34468,34469,34470,34471,34472,34473,34474,34475",,,
274,146,9,,,,,,,,,"34476,34477,34478,34479,34480,34481,34482,34483,34484,34485,34486,34487,34488,34489,34490,34491,34492,34493,34494,34495,34496,34497,34498,34499,34500,34501,34502,34503",,,
275,147,10,,,,,,,,,"34504,34511,34512,34513,34514,34515,34516,34517,34518,34519,34520",,,
276,148,10,,,,,,,,,"34521,34522,34523,34525,34526,34527,34528,34529,34530,34531,34532,34533,34534,34535,34536,34537,34538,34539,34540,34542,34543,34544,34545,34546,34547,34548",,,
277,149,10,,,,,,,,,"34549,34550,34551,34552,34553,34554,34555,34556,34557,34558,34559,34560,34561,34562,34563,34564,34565,34566,34567",,,
278,150,10,,,,,,,,,"34569,34570,34571,34572,34573,34574,34576,34577,34578,34579,34580,34581",,,
279,151,10,,,,,,,,,"34582,34583,34584,34585,34587,34588,34589,34590,34591,34592,34593,34594,34595",,,
280,152,10,,,,,,,,,"34596,34597,34598,34599,34600,34601,34602,34603,34604,34605,34606,34607,34608,34609,34610,34611,34612,34613",,,
281,153,10,,,,,,,,,,,,
282,153,11,,,,,,,,,"34614,34615,34616,34617,34618,34619,34620,34621,34622,34623,34624,34625,34626,34627,34628,34629,34630,34631,34632,34633,34634,34635,34636",,,
283,154,11,129,,,,,,,,34637,,,
